iter	Passed	Remaining
0	51	51320
1	54	27097
2	59	19702
3	62	15562
4	65	13095
5	69	11488
6	72	10306
7	75	9372
8	78	8689
9	82	8162
10	85	7694
11	88	7281
12	91	6954
13	95	6719
14	98	6476
15	101	6261
16	104	6070
17	108	5902
18	112	5786
19	114	5628
20	118	5508
21	121	5416
22	125	5334
23	129	5251
24	131	5137
25	134	5038
26	137	4947
27	140	4872
28	143	4802
29	146	4737
30	148	4634
31	150	4537
32	153	4500
33	155	4424
34	158	4362
35	159	4263
36	160	4173
37	161	4086
38	162	4000
39	163	3915
40	163	3835
41	164	3758
42	165	3684
43	166	3614
44	167	3547
45	168	3486
46	168	3424
47	169	3364
48	170	3307
49	171	3250
50	171	3195
51	172	3141
52	172	3090
53	173	3041
54	174	2995
55	174	2949
56	175	2904
57	176	2862
58	176	2820
59	177	2781
60	178	2742
61	178	2704
62	179	2666
63	179	2631
64	180	2596
65	181	2563
66	181	2530
67	182	2498
68	182	2467
69	183	2437
70	184	2407
71	184	2379
72	185	2351
73	185	2324
74	186	2298
75	186	2272
76	187	2247
77	188	2223
78	188	2198
79	189	2175
80	189	2153
81	190	2131
82	190	2106
83	191	2085
84	191	2064
85	192	2044
86	192	2024
87	193	2005
88	194	1986
89	194	1968
90	195	1950
91	198	1956
92	198	1940
93	199	1923
94	200	1906
95	200	1890
96	201	1873
97	201	1857
98	202	1842
99	202	1826
100	203	1812
101	204	1797
102	204	1783
103	205	1768
104	205	1755
105	206	1741
106	207	1727
107	207	1714
108	208	1701
109	208	1689
110	209	1676
111	209	1664
112	210	1652
113	211	1640
114	211	1628
115	212	1617
116	212	1605
117	213	1594
118	213	1583
119	214	1572
120	214	1561
121	215	1550
122	216	1540
123	216	1530
124	217	1520
125	217	1510
126	218	1499
127	218	1490
128	219	1481
129	219	1472
130	220	1462
131	221	1454
132	221	1444
133	222	1435
134	222	1427
135	223	1419
136	224	1411
137	224	1402
138	225	1394
139	225	1386
140	226	1378
141	226	1369
142	227	1362
143	227	1354
144	228	1346
145	228	1339
146	229	1331
147	230	1324
148	230	1317
149	231	1310
150	231	1303
151	232	1296
152	233	1289
153	233	1283
154	234	1276
155	234	1270
156	235	1263
157	235	1257
158	236	1250
159	237	1244
160	237	1237
161	237	1230
162	238	1224
163	239	1218
164	239	1212
165	240	1207
166	240	1201
167	241	1195
168	241	1189
169	242	1184
170	243	1178
171	243	1173
172	244	1168
173	244	1162
174	245	1157
175	246	1152
176	246	1147
177	247	1142
178	248	1137
179	248	1132
180	249	1128
181	249	1123
182	250	1118
183	251	1113
184	251	1109
185	252	1104
186	252	1099
187	253	1095
188	254	1090
189	254	1086
190	255	1081
191	257	1081
192	258	1082
193	260	1081
194	261	1080
195	264	1084
196	264	1080
197	265	1075
198	266	1071
199	266	1066
200	267	1062
201	267	1058
202	268	1054
203	269	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1005
215	276	1001
216	276	998
217	277	994
218	277	990
219	278	986
220	278	982
221	279	979
222	280	975
223	280	972
224	281	968
225	281	964
226	282	961
227	282	957
228	283	954
229	283	950
230	284	947
231	285	943
232	285	940
233	286	937
234	286	933
235	287	930
236	287	927
237	288	923
238	289	920
239	289	917
240	290	913
241	290	910
242	291	907
243	291	904
244	292	901
245	293	898
246	293	895
247	294	892
248	294	889
249	295	886
250	295	883
251	296	880
252	297	877
253	299	880
254	300	877
255	300	874
256	301	871
257	302	868
258	302	866
259	303	863
260	304	861
261	304	859
262	305	856
263	306	853
264	306	850
265	307	848
266	307	845
267	308	842
268	309	840
269	309	837
270	310	834
271	310	832
272	311	829
273	312	826
274	312	824
275	313	821
276	313	818
277	314	816
278	314	813
279	315	811
280	316	808
281	316	806
282	317	803
283	317	801
284	318	798
285	318	796
286	319	793
287	320	791
288	320	789
289	321	786
290	321	784
291	322	781
292	323	779
293	323	777
294	324	774
295	324	772
296	325	770
297	325	767
298	326	765
299	327	763
300	327	760
301	328	758
302	328	756
303	329	754
304	329	751
305	330	749
306	331	747
307	331	745
308	332	743
309	332	740
310	333	738
311	333	736
312	334	734
313	335	732
314	335	730
315	336	727
316	336	725
317	337	723
318	338	721
319	338	719
320	339	717
321	339	715
322	340	713
323	340	711
324	341	709
325	342	707
326	342	705
327	343	703
328	343	701
329	344	699
330	344	697
331	345	695
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	348	683
338	349	681
339	350	679
340	350	677
341	351	675
342	351	673
343	352	671
344	352	669
345	353	668
346	354	666
347	354	664
348	355	662
349	355	660
350	356	658
351	356	657
352	357	655
353	358	653
354	358	651
355	359	649
356	359	648
357	360	646
358	361	644
359	361	642
360	362	641
361	362	639
362	363	637
363	364	636
364	364	634
365	365	632
366	365	630
367	366	629
368	367	627
369	367	625
370	368	624
371	368	622
372	369	621
373	370	619
374	370	617
375	371	616
376	371	614
377	372	612
378	372	611
379	373	609
380	374	607
381	374	606
382	375	604
383	375	603
384	376	601
385	377	599
386	377	598
387	378	596
388	378	595
389	379	593
390	380	591
391	380	590
392	381	588
393	381	587
394	382	585
395	383	584
396	383	582
397	384	581
398	384	579
399	385	578
400	386	576
401	386	575
402	387	573
403	387	572
404	388	570
405	389	569
406	389	567
407	390	566
408	390	564
409	391	563
410	391	561
411	392	560
412	393	558
