iter	Passed	Remaining
0	124	123913
1	125	62775
2	127	42274
3	127	31831
4	128	25581
5	129	21447
6	130	18456
7	130	16211
8	134	14821
9	135	13401
10	136	12231
11	142	11709
12	158	12050
13	161	11346
14	163	10749
15	165	10179
16	166	9610
17	166	9101
18	169	8769
19	172	8428
20	176	8248
21	177	7896
22	178	7574
23	188	7657
24	190	7417
25	192	7216
26	193	6982
27	194	6752
28	195	6542
29	200	6472
30	203	6367
31	205	6202
32	205	6031
33	206	5870
34	207	5717
35	208	5575
36	209	5440
37	211	5351
38	213	5261
39	214	5148
40	217	5079
41	218	4981
42	219	4878
43	219	4775
44	220	4678
45	221	4596
46	222	4507
47	222	4422
48	223	4341
49	224	4262
50	225	4186
51	226	4124
52	229	4092
53	231	4058
54	232	3998
55	233	3935
56	234	3873
57	234	3812
58	235	3754
59	236	3705
60	237	3660
61	238	3607
62	239	3557
63	239	3508
64	240	3460
65	242	3436
66	244	3403
67	245	3359
68	246	3319
69	246	3279
70	247	3241
71	248	3203
72	249	3171
73	251	3146
74	252	3113
75	253	3079
76	254	3047
77	254	3012
78	255	2980
79	257	2956
80	258	2938
81	259	2905
82	259	2871
83	261	2849
84	262	2824
85	263	2798
86	264	2778
87	265	2750
88	266	2723
89	266	2696
90	267	2670
91	267	2645
92	277	2704
93	279	2692
94	280	2667
95	280	2642
96	281	2617
97	281	2593
98	282	2570
99	282	2546
100	283	2524
101	285	2509
102	285	2488
103	286	2469
104	288	2463
105	289	2442
106	290	2424
107	291	2410
108	292	2390
109	293	2371
110	293	2353
111	294	2336
112	295	2318
113	295	2300
114	296	2282
115	297	2267
116	298	2251
117	299	2236
118	302	2237
119	302	2220
120	303	2204
121	304	2187
122	304	2172
123	305	2156
124	305	2140
125	306	2125
126	306	2109
127	307	2094
128	308	2081
129	310	2074
130	312	2074
131	314	2065
132	321	2097
133	323	2089
134	324	2080
135	325	2066
136	325	2053
137	326	2040
138	327	2027
139	327	2014
140	339	2066
141	339	2052
142	340	2039
143	340	2026
144	341	2014
145	342	2001
146	342	1989
147	343	1978
148	344	1967
149	345	1959
150	346	1949
151	347	1939
152	349	1933
153	350	1927
154	353	1924
155	355	1920
156	356	1913
157	358	1907
158	359	1899
159	359	1888
160	360	1876
161	363	1881
162	366	1880
163	369	1881
164	370	1873
165	370	1863
166	371	1853
167	372	1844
168	373	1834
169	373	1824
